memo,sim1,sim2,sim3,sim4,sim5,sim6,simp,vendor,ext1,accuracy,ext2,accuracy,ext3,accuracy,ext4,accuracy,failed,output,accuracy
11/05 PANINI KABOB GRI SANTA MON 11/05 PANINI KABOB GRI SANTA MONICA CA Debit Card,11/05 PANINI KABOB GRI SANTA MON 11/05 PANINI KABOB GRI SANTA MONICA,11/05 PANINI KABOB GRI SANTA MON 11/05 PANINI KABOB GRI SANTA MONICA CA Debit Card,PANINI KABOB GRI SANTA MON PANINI KABOB GRI SANTA MONICA CA Debit Card,11/05 PANINI KABOB GRI SANTA MON 11/05 PANINI KABOB GRI SANTA MONICA CA Debit Card,,,11/05 PANINI KABOB GRI SANTA MON 11/05 PANINI KABOB GRI SANTA MONICA,Panini Kabob,,0.0,11/05 PANINI KABOB GRI SANTA ,0.5853658536585366,,0.0,,0.0,extracted,11/05 PANINI KABOB GRI SANTA ,0.5853658536585366
11/05 TUESDAY MORNING SANTA MONI 11/05 TUESDAY MORNING SANTA MONICA CA Debit Card,11/05 TUESDAY MORNING SANTA MONI 11/05 TUESDAY MORNING SANTA MONICA,11/05 TUESDAY MORNING SANTA MONI 11/05 TUESDAY MORNING SANTA MONICA CA Debit Card,TUESDAY MORNING SANTA MONI TUESDAY MORNING SANTA MONICA CA Debit Card,11/05 TUESDAY MORNING SANTA MONI 11/05 TUESDAY MORNING SANTA MONICA CA Debit Card,,,11/05 TUESDAY MORNING SANTA MONI 11/05 TUESDAY MORNING SANTA MONICA,Tuesday Morning Santa Monica,,0.0,11/05 TUESDAY MORNING SANTA ,0.7857142857142857,,0.0,,0.0,extracted,11/05 TUESDAY MORNING SANTA ,0.7857142857142857
11/06 FATHER'S OFFICE- SANTA MON 11/06 FATHER'S OFFICE- SANTA MONICA CA Debit Card,11/06 FATHER'S OFFICE- SANTA MON 11/06 FATHER'S OFFICE- SANTA MONICA,11/06 FATHER'S OFFICE- SANTA MON 11/06 FATHER'S OFFICE- SANTA MONICA CA Debit Card,FATHER'S OFFICE- SANTA MON FATHER'S OFFICE- SANTA MONICA CA Debit Card,11/06 FATHER'S OFFICE- SANTA MON 11/06 FATHER'S OFFICE- SANTA MONICA CA Debit Card,,,11/06 FATHER'S OFFICE- SANTA MON 11/06 FATHER'S OFFICE- SANTA MONICA,"""Father's office""",,0.0,11/06 FATHER'S OFFICE- SANTA ,0.6521739130434783,,0.0,,0.0,extracted,11/06 FATHER'S OFFICE- SANTA ,0.6521739130434783
11/06 WAHOO'S FISH TAC SANTA MON 11/06 WAHOO'S FISH TAC SANTA MONICA CA Debit Card,11/06 WAHOO'S FISH TAC SANTA MON 11/06 WAHOO'S FISH TAC SANTA MONICA,11/06 WAHOO'S FISH TAC SANTA MON 11/06 WAHOO'S FISH TAC SANTA MONICA CA Debit Card,WAHOO'S FISH TAC SANTA MON WAHOO'S FISH TAC SANTA MONICA CA Debit Card,11/06 WAHOO'S FISH TAC SANTA MON 11/06 WAHOO'S FISH TAC SANTA MONICA CA Debit Card,,,11/06 WAHOO'S FISH TAC SANTA MON 11/06 WAHOO'S FISH TAC SANTA MONICA,"""Wahoo's Fish Tacos""",,0.0,11/06 WAHOO'S FISH TAC SANTA ,0.6938775510204082,,0.0,,0.0,extracted,11/06 WAHOO'S FISH TAC SANTA ,0.6938775510204082
11/07 DUC LOI SUPERMAR SAN FRANCISCOCA Debit Card,11/07 DUC LOI SUPERMAR SAN FRANCISCOCA ,11/07 DUC LOI SUPERMAR SAN FRANCISCOCA Debit Card,DUC LOI SUPERMAR SAN FRANCISCOCA Debit Card,11/07 DUC LOI SUPERMAR SAN FRANCISCOCA Debit Card,,,11/07 DUC LOI SUPERMAR SAN FRANCISCOCA ,Duc Loi Supermarket,,0.0,,0.0,,0.0,,0.0,extracted,11/07 DUC LOI SUPERMAR SAN FRANCISCOCA ,0.5517241379310345
11/08 KULA REVOLVING S LOS ANGEL 11/08 KULA REVOLVING S LOS ANGELES CA Debit Card,11/08 KULA REVOLVING S LOS ANGEL 11/08 KULA REVOLVING S LOS ANGELES,11/08 KULA REVOLVING S LOS ANGEL 11/08 KULA REVOLVING S LOS ANGELES CA Debit Card,KULA REVOLVING S LOS ANGEL KULA REVOLVING S LOS ANGELES CA Debit Card,11/08 KULA REVOLVING S LOS ANGEL 11/08 KULA REVOLVING S LOS ANGELES CA Debit Card,,,11/08 KULA REVOLVING S LOS ANGEL 11/08 KULA REVOLVING S LOS ANGELES,Kula Revolving,,0.0,11/08 KULA REVOLVING S LOS ,0.6829268292682927,,0.0,,0.0,,11/08 KULA REVOLVING S LOS ,0.6829268292682927
11/08 LAWDEPOT.COM 8775094398 AB Debit Card,11/08 LAWDEPOT.COM 8775094398 AB ,,LAWDEPOT.COM 8775094398 AB Debit Card,11/08 LAWDEPOT.COM 8775094398 AB Debit Card,,11/08 LAWDEPOT.COM 8775094398 AB Debit Card,11/08 LAWDEPOT.COM 8775094398 AB ,Lawdepot.com,,0.0,,0.0,,0.0,,0.0,extracted,11/08 LAWDEPOT.COM 8775094398 AB ,0.5333333333333333
11/09 THE BRITANNIA SANTA MONICA 11/09 THE BRITANNIA SANTA MONICA CA Debit Card,11/09 THE BRITANNIA SANTA MONICA 11/09 THE BRITANNIA SANTA MONICA,11/09 THE BRITANNIA SANTA MONICA 11/09 THE BRITANNIA SANTA MONICA CA Debit Card,THE BRITANNIA SANTA MONICA THE BRITANNIA SANTA MONICA CA Debit Card,11/09 THE BRITANNIA SANTA MONICA 11/09 THE BRITANNIA SANTA MONICA CA Debit Card,,,11/09 THE BRITANNIA SANTA MONICA 11/09 THE BRITANNIA SANTA MONICA,The Britannia,,0.0,11/09 THE BRITANNIA SANTA MONICA ,0.5652173913043478,,0.0,,0.0,,11/09 THE BRITANNIA SANTA MONICA ,0.5652173913043478
11/10 FUNNEL MILL SANTA MONIC CA 11/10 FUNNEL MILL SANTA MONIC CA Debit Card,11/10 FUNNEL MILL SANTA MONIC11/10 FUNNEL MILL SANTA MONIC,11/10 FUNNEL MILL SANTA MONIC CA 11/10 FUNNEL MILL SANTA MONIC CA Debit Card,FUNNEL MILL SANTA MONIC CA FUNNEL MILL SANTA MONIC CA Debit Card,11/10 FUNNEL MILL SANTA MONIC CA 11/10 FUNNEL MILL SANTA MONIC CA Debit Card,,,11/10 FUNNEL MILL SANTA MONIC11/10 FUNNEL MILL SANTA MONIC,Funnel Mill,,0.0,FUNNEL MILL SANTA ,0.7586206896551724,,0.0,,0.0,extracted,FUNNEL MILL SANTA ,0.7586206896551724
11/10 MERCADO SANTA MONICA CA De 11/10 MERCADO SANTA MONICA CA Debit Card,11/10 MERCADO SANTA MONICADe 11/10 MERCADO SANTA MONICA,11/10 MERCADO SANTA MONICA CA De 11/10 MERCADO SANTA MONICA CA Debit Card,MERCADO SANTA MONICA CA De MERCADO SANTA MONICA CA Debit Card,11/10 MERCADO SANTA MONICA CA De 11/10 MERCADO SANTA MONICA CA Debit Card,,,11/10 MERCADO SANTA MONICADe 11/10 MERCADO SANTA MONICA,Mercado Santa Monica,,0.0,11/10 MERCADO SANTA ,0.7,,0.0,,0.0,extracted,11/10 MERCADO SANTA ,0.7
11/10 TIERRA MIA COFFE OAKLAND CA Debit Card,11/10 TIERRA MIA COFFE OAKLAND,11/10 TIERRA MIA COFFE OAKLAND CA Debit Card,TIERRA MIA COFFE OAKLAND CA Debit Card,11/10 TIERRA MIA COFFE OAKLAND CA Debit Card,,,11/10 TIERRA MIA COFFE OAKLAND,Tierra Mia Coffee,,0.0,,0.0,,0.0,,0.0,extracted,11/10 TIERRA MIA COFFE OAKLAND,0.6808510638297872
11/12 TOWNHOUSE VENICE CA Debit 11/12 TOWNHOUSE VENICE CA Debit Card,11/12 TOWNHOUSE VENICE 11/12 TOWNHOUSE VENICE,11/12 TOWNHOUSE VENICE CA Debit 11/12 TOWNHOUSE VENICE CA Debit Card,TOWNHOUSE VENICE CA Debit TOWNHOUSE VENICE CA Debit Card,11/12 TOWNHOUSE VENICE CA Debit 11/12 TOWNHOUSE VENICE CA Debit Card,,,11/12 TOWNHOUSE VENICE 11/12 TOWNHOUSE VENICE,Townhouse Venice,,0.0,11/12 TOWNHOUSE VENICE ,0.8205128205128205,,0.0,,0.0,,11/12 TOWNHOUSE VENICE ,0.8205128205128205
11/16 MOMS BAR & LOUNG LOS ANGEL 11/16 MOMS BAR & LOUNG LOS ANGELES CA Debit Card,11/16 MOMS BAR & LOUNG LOS ANGEL 11/16 MOMS BAR & LOUNG LOS ANGELES,11/16 MOMS BAR & LOUNG LOS ANGEL 11/16 MOMS BAR & LOUNG LOS ANGELES CA Debit Card,MOMS BAR & LOUNG LOS ANGEL MOMS BAR & LOUNG LOS ANGELES CA Debit Card,11/16 MOMS BAR & LOUNG LOS ANGEL 11/16 MOMS BAR & LOUNG LOS ANGELES CA Debit Card,,,11/16 MOMS BAR & LOUNG LOS ANGEL 11/16 MOMS BAR & LOUNG LOS ANGELES,Moms Bar & Lounge,,0.0,11/16 MOMS BAR & LOUNG LOS ,0.7272727272727273,,0.0,,0.0,extracted,11/16 MOMS BAR & LOUNG LOS ,0.7272727272727273
11/18 TOCAYA SANTA MON SANTA MON 11/18 TOCAYA SANTA MON SANTA MONICA CA Debit Card,11/18 TOCAYA SANTA MON SANTA MON 11/18 TOCAYA SANTA MON SANTA MONICA,11/18 TOCAYA SANTA MON SANTA MON 11/18 TOCAYA SANTA MON SANTA MONICA CA Debit Card,TOCAYA SANTA MON SANTA MON TOCAYA SANTA MON SANTA MONICA CA Debit Card,11/18 TOCAYA SANTA MON SANTA MON 11/18 TOCAYA SANTA MON SANTA MONICA CA Debit Card,,,11/18 TOCAYA SANTA MON SANTA MON 11/18 TOCAYA SANTA MON SANTA MONICA,Tocaya Santa Monica,,0.0,SANTA MON 11/18 TOCAYA SANTA MON SANTA ,0.5862068965517241,,0.0,,0.0,extracted,SANTA MON 11/18 TOCAYA SANTA MON SANTA ,0.5862068965517241
11/18 TWC*TIME WARNER 888-TWCABL 11/18 TWC*TIME WARNER 888-TWCABLE CA Debit Card,11/18 TWC*TIME WARNER 888-TWCABL 11/18 TWC*TIME WARNER 888-TWCABLE,11/18 TWC*TIME WARNER 888-TWCABL 11/18 TWC*TIME WARNER 888-TWCABLE CA Debit Card,TWC*TIME WARNER 888-TWCABL TWC*TIME WARNER 888-TWCABLE CA Debit Card,11/18 TWC*TIME WARNER 888-TWCABL 11/18 TWC*TIME WARNER 888-TWCABLE CA Debit Card,TIME WARNER 888-TWCABLE CA Debit Card,,11/18 TWC*TIME WARNER 888-TWCABL 11/18 TWC*TIME WARNER 888-TWCABLE,Time Warner Cable,,0.0,11/18 TWC*TIME WARNER ,0.6153846153846154,,0.0,,0.0,extracted,11/18 TWC*TIME WARNER ,0.6153846153846154
11/20 MENDOCINO FARMS SANTA MONI 11/20 MENDOCINO FARMS SANTA MONICA CA Debit Card,11/20 MENDOCINO FARMS SANTA MONI 11/20 MENDOCINO FARMS SANTA MONICA,11/20 MENDOCINO FARMS SANTA MONI 11/20 MENDOCINO FARMS SANTA MONICA CA Debit Card,MENDOCINO FARMS SANTA MONI MENDOCINO FARMS SANTA MONICA CA Debit Card,11/20 MENDOCINO FARMS SANTA MONI 11/20 MENDOCINO FARMS SANTA MONICA CA Debit Card,,,11/20 MENDOCINO FARMS SANTA MONI 11/20 MENDOCINO FARMS SANTA MONICA,Mendocino Farms,,0.0,11/20 MENDOCINO FARMS SANTA ,0.6976744186046512,,0.0,,0.0,extracted,11/20 MENDOCINO FARMS SANTA ,0.6976744186046512
11/21 SWEETFIN POKE S. SANTA MON 11/21 SWEETFIN POKE S. SANTA MONICA CA Debit Card,11/21 SWEETFIN POKE S. SANTA MON 11/21 SWEETFIN POKE S. SANTA MONICA,11/21 SWEETFIN POKE S. SANTA MON 11/21 SWEETFIN POKE S. SANTA MONICA CA Debit Card,SWEETFIN POKE S. SANTA MON SWEETFIN POKE S. SANTA MONICA CA Debit Card,11/21 SWEETFIN POKE S. SANTA MON 11/21 SWEETFIN POKE S. SANTA MONICA CA Debit Card,,11/21 SWEETFIN POKE S. SANTA MON 11/21 SWEETFIN POKE S. SANTA MONICA CA Debit Card,11/21 SWEETFIN POKE S. SANTA MON 11/21 SWEETFIN POKE S. SANTA MONICA,Sweetfin Poke,,0.0,11/21 SWEETFIN POKE S. SANTA ,0.6190476190476191,,0.0,,0.0,extracted,11/21 SWEETFIN POKE S. SANTA ,0.6190476190476191
11/22 TST* SPINFISH PO SANTA MON 11/22 TST* SPINFISH PO SANTA MONICA CA Debit Card,11/22 TST* SPINFISH PO SANTA MON 11/22 TST* SPINFISH PO SANTA MONICA,11/22 TST* SPINFISH PO SANTA MON 11/22 TST* SPINFISH PO SANTA MONICA CA Debit Card,TST* SPINFISH PO SANTA MON TST* SPINFISH PO SANTA MONICA CA Debit Card,11/22 TST* SPINFISH PO SANTA MON 11/22 TST* SPINFISH PO SANTA MONICA CA Debit Card, SPINFISH PO SANTA MONICA CA Debit Card,,11/22 TST* SPINFISH PO SANTA MON 11/22 TST* SPINFISH PO SANTA MONICA,Spinefish Poke,,0.0,11/22 TST* SPINFISH PO SANTA ,0.5116279069767442,,0.0,,0.0,extracted,11/22 TST* SPINFISH PO SANTA ,0.5116279069767442
11/23 SEOUL HOUSE OF T LOS ANGEL 11/23 SEOUL HOUSE OF T LOS ANGELES CA Debit Card,11/23 SEOUL HOUSE OF T LOS ANGEL 11/23 SEOUL HOUSE OF T LOS ANGELES,11/23 SEOUL HOUSE OF T LOS ANGEL 11/23 SEOUL HOUSE OF T LOS ANGELES CA Debit Card,SEOUL HOUSE OF T LOS ANGEL SEOUL HOUSE OF T LOS ANGELES CA Debit Card,11/23 SEOUL HOUSE OF T LOS ANGEL 11/23 SEOUL HOUSE OF T LOS ANGELES CA Debit Card,,,11/23 SEOUL HOUSE OF T LOS ANGEL 11/23 SEOUL HOUSE OF T LOS ANGELES,Seoul House of Tofu,,0.0,11/23 SEOUL HOUSE OF T LOS ,0.7391304347826086,,0.0,,0.0,extracted,11/23 SEOUL HOUSE OF T LOS ,0.7391304347826086
11/24 KULA REVOLVING S LOS ANGEL 11/24 KULA REVOLVING S LOS ANGELES CA Debit Card,11/24 KULA REVOLVING S LOS ANGEL 11/24 KULA REVOLVING S LOS ANGELES,11/24 KULA REVOLVING S LOS ANGEL 11/24 KULA REVOLVING S LOS ANGELES CA Debit Card,KULA REVOLVING S LOS ANGEL KULA REVOLVING S LOS ANGELES CA Debit Card,11/24 KULA REVOLVING S LOS ANGEL 11/24 KULA REVOLVING S LOS ANGELES CA Debit Card,,,11/24 KULA REVOLVING S LOS ANGEL 11/24 KULA REVOLVING S LOS ANGELES,Kula Revolving,,0.0,11/24 KULA REVOLVING S LOS ,0.6829268292682927,,0.0,,0.0,extracted,11/24 KULA REVOLVING S LOS ,0.6829268292682927
11/24 SQ *SIDECAR DOUG SANTA MON 11/24 SQ *SIDECAR DOUG SANTA MONICA CA Debit Card,11/24 SQ *SIDECAR DOUG SANTA MON 11/24 SQ *SIDECAR DOUG SANTA MONICA,11/24 SQ *SIDECAR DOUG SANTA MON 11/24 SQ *SIDECAR DOUG SANTA MONICA CA Debit Card,SQ *SIDECAR DOUG SANTA MON SQ *SIDECAR DOUG SANTA MONICA CA Debit Card,11/24 SQ *SIDECAR DOUG SANTA MON 11/24 SQ *SIDECAR DOUG SANTA MONICA CA Debit Card,SIDECAR DOUG SANTA MONICA CA Debit Card,,11/24 SQ *SIDECAR DOUG SANTA MON 11/24 SQ *SIDECAR DOUG SANTA MONICA,Sidecar Doug,,0.0,11/24 SQ *SIDECAR DOUG SANTA ,0.5853658536585366,,0.0,,0.0,extracted,11/24 SQ *SIDECAR DOUG SANTA ,0.5853658536585366
11/24 WARSZAWA POLISH SANTA MONI 11/24 WARSZAWA POLISH SANTA MONICA CA Debit Card,11/24 WARSZAWA POLISH SANTA MONI 11/24 WARSZAWA POLISH SANTA MONICA,11/24 WARSZAWA POLISH SANTA MONI 11/24 WARSZAWA POLISH SANTA MONICA CA Debit Card,WARSZAWA POLISH SANTA MONI WARSZAWA POLISH SANTA MONICA CA Debit Card,11/24 WARSZAWA POLISH SANTA MONI 11/24 WARSZAWA POLISH SANTA MONICA CA Debit Card,,,11/24 WARSZAWA POLISH SANTA MONI 11/24 WARSZAWA POLISH SANTA MONICA,WARSZAWA POLISH,,0.0,11/24 WARSZAWA POLISH SANTA ,0.6976744186046512,,0.0,,0.0,extracted,11/24 WARSZAWA POLISH SANTA ,0.6976744186046512
11/25 GOBBLE.COM MEALS HTTPSGOBB 11/25 GOBBLE.COM MEALS HTTPSGOBBLE.CCA Debit Card,11/25 GOBBLE.COM MEALS HTTPSGOBB 11/25 GOBBLE.COM MEALS HTTPSGOBBLE.CCA ,11/25 GOBBLE.COM MEALS HTTPSGOBB 11/25 GOBBLE.COM MEALS HTTPSGOBBLE.CCA Debit Card,GOBBLE.COM MEALS HTTPSGOBB GOBBLE.COM MEALS HTTPSGOBBLE.CCA Debit Card,11/25 GOBBLE.COM MEALS HTTPSGOBB 11/25 GOBBLE.COM MEALS HTTPSGOBBLE.CCA Debit Card,,11/25 GOBBLE.COM MEALS HTTPSGOBB 11/25 GOBBLE.COM MEALS HTTPSGOBBLE.CCA Debit Card,11/25 GOBBLE.COM MEALS HTTPSGOBB 11/25 GOBBLE.COM MEALS HTTPSGOBBLE.CCA ,"Gobble, Inc",,0.0,11/25 GOBBLE.COM MEALS ,0.4117647058823529,,0.0,,0.0,extracted,11/25 GOBBLE.COM MEALS ,0.4117647058823529
11/25 OOKOOK KOREAN BB LOS ANGEL 11/25 OOKOOK KOREAN BB LOS ANGELES CA Debit Card,11/25 OOKOOK KOREAN BB LOS ANGEL 11/25 OOKOOK KOREAN BB LOS ANGELES,11/25 OOKOOK KOREAN BB LOS ANGEL 11/25 OOKOOK KOREAN BB LOS ANGELES CA Debit Card,OOKOOK KOREAN BB LOS ANGEL OOKOOK KOREAN BB LOS ANGELES CA Debit Card,11/25 OOKOOK KOREAN BB LOS ANGEL 11/25 OOKOOK KOREAN BB LOS ANGELES CA Debit Card,,,11/25 OOKOOK KOREAN BB LOS ANGEL 11/25 OOKOOK KOREAN BB LOS ANGELES,Ookook Korean BBQ,,0.0,11/25 OOKOOK KOREAN BB LOS ,0.7272727272727273,,0.0,,0.0,extracted,11/25 OOKOOK KOREAN BB LOS ,0.7272727272727273
11/25 PAYPAL *MONOTYPE 35314369001 DE Debit Card,11/25 *MONOTYPE 35314369001 DE ,,PAYPAL *MONOTYPE 35314369001 DE Debit Card,11/25 PAYPAL *MONOTYPE 35314369001 DE Debit Card,MONOTYPE 35314369001 DE Debit Card,,11/25 *MONOTYPE 35314369001 DE ,MONOTYPE,,0.0,,0.0,,0.0,,0.0,extracted,11/25 *MONOTYPE 35314369001 DE ,0.41025641025641024
11/26 TST* BIG DADDY'S VENICE CA 11/26 TST* BIG DADDY'S VENICE CA Debit Card,11/26 TST* BIG DADDY'S VENICE11/26 TST* BIG DADDY'S VENICE,11/26 TST* BIG DADDY'S VENICE CA 11/26 TST* BIG DADDY'S VENICE CA Debit Card,TST* BIG DADDY'S VENICE CA TST* BIG DADDY'S VENICE CA Debit Card,11/26 TST* BIG DADDY'S VENICE CA 11/26 TST* BIG DADDY'S VENICE CA Debit Card, BIG DADDY'S VENICE CA Debit Card,,11/26 TST* BIG DADDY'S VENICE11/26 TST* BIG DADDY'S VENICE,"""Big Daddy's""",,0.0,TST* BIG DADDY'S ,0.7333333333333333,,0.0,,0.0,,TST* BIG DADDY'S ,0.7333333333333333
11/30 JINYA RAMEN SANTA MONICA CA Debit Card,11/30 JINYA RAMEN SANTA MONICA,11/30 JINYA RAMEN SANTA MONICA CA Debit Card,JINYA RAMEN SANTA MONICA CA Debit Card,11/30 JINYA RAMEN SANTA MONICA CA Debit Card,,,11/30 JINYA RAMEN SANTA MONICA,Jinya Ramen,,0.0,,0.0,,0.0,,0.0,extracted,11/30 JINYA RAMEN SANTA MONICA,0.5365853658536586
1114 6TH STREET SANTA MONICA LLC 1114 6TH STREET SANTA MONICA LLC Cashier Check Purchase,1114 6TH STREET SANTA MONICA LLC 1114 6TH STREET SANTA MONICA LLC ,1114 STREET SANTA MONICA LLC 1114 STREET SANTA MONICA LLC Cashier Check Purchase,,1114 6TH STREET SANTA MONICA LLC 1114 6TH STREET SANTA MONICA LLC Cashier Check Purchase,,,1114 6TH STREET SANTA MONICA LLC 1114 6TH STREET SANTA MONICA LLC ,Williams Real Estate,,0.0,1114 6TH STREET SANTA MONICA LLC ,0.1509433962264151,,0.0,1114 6TH STREET SANTA MONICA,0.25,,1114 6TH STREET SANTA MONICA,0.25
